symbol,tf,horizon_bars,band,n,mean_bps,excess_bps,base_bps,median_bps,hit_up,share
SOLUSDT,4h,16,<=-0.8,3699,-10.812,-99.601,88.789,-14.445,0.4891,0.285
SOLUSDT,4h,16,-0.8..-0.4,1530,83.801,-4.988,88.789,7.518,0.5059,0.1179
SOLUSDT,4h,16,-0.4..-0.1,801,90.781,1.992,88.789,36.321,0.5293,0.0617
SOLUSDT,4h,16,flat,498,106.234,17.444,88.789,63.71,0.5482,0.0384
SOLUSDT,4h,16,0.1..0.4,618,44.066,-44.724,88.789,-36.614,0.4838,0.0476
SOLUSDT,4h,16,0.4..0.8,1116,65.618,-23.171,88.789,-64.952,0.4633,0.086
SOLUSDT,4h,16,>=0.8,4717,177.674,88.885,88.789,7.402,0.5041,0.3634
XRPUSDT,15m,1,<=-0.8,71150,0.373,0.099,0.275,1.629,0.5148,0.2652
XRPUSDT,15m,1,-0.8..-0.4,37262,-0.077,-0.351,0.275,0.0,0.494,0.1389
XRPUSDT,15m,1,-0.4..-0.1,17950,0.29,0.015,0.275,0.0,0.4912,0.0669
XRPUSDT,15m,1,flat,9641,0.27,-0.005,0.275,0.0,0.4971,0.0359
XRPUSDT,15m,1,0.1..0.4,15239,0.526,0.252,0.275,0.0,0.4975,0.0568
XRPUSDT,15m,1,0.4..0.8,26503,0.344,0.069,0.275,0.0,0.4949,0.0988
XRPUSDT,15m,1,>=0.8,90554,0.277,0.002,0.275,-0.416,0.4818,0.3375
XRPUSDT,15m,4,<=-0.8,71150,0.985,0.137,0.848,5.05,0.5369,0.2652
XRPUSDT,15m,4,-0.8..-0.4,37260,-0.24,-1.087,0.848,0.399,0.5006,0.1389
XRPUSDT,15m,4,-0.4..-0.1,17949,-0.394,-1.242,0.848,0.0,0.497,0.0669
XRPUSDT,15m,4,flat,9641,1.364,0.516,0.848,1.484,0.5072,0.0359
XRPUSDT,15m,4,0.1..0.4,15239,1.421,0.573,0.848,0.0,0.4959,0.0568
XRPUSDT,15m,4,0.4..0.8,26503,1.766,0.919,0.848,0.0,0.4953,0.0988
XRPUSDT,15m,4,>=0.8,90554,1.013,0.166,0.848,-3.197,0.4709,0.3375
XRPUSDT,15m,16,<=-0.8,71143,3.499,0.537,2.962,10.299,0.5419,0.2652
XRPUSDT,15m,16,-0.8..-0.4,37258,-5.15,-8.112,2.962,0.0,0.4994,0.1389
XRPUSDT,15m,16,-0.4..-0.1,17949,-0.63,-3.592,2.962,0.0,0.4954,0.0669
XRPUSDT,15m,16,flat,9641,5.954,2.992,2.962,3.581,0.5121,0.0359
XRPUSDT,15m,16,0.1..0.4,15238,8.506,5.545,2.962,1.475,0.5037,0.0568
XRPUSDT,15m,16,0.4..0.8,26502,1.544,-1.418,2.962,-1.791,0.4901,0.0988
XRPUSDT,15m,16,>=0.8,90553,5.753,2.791,2.962,-8.949,0.4611,0.3375
XRPUSDT,1h,1,<=-0.8,19186,0.41,-0.406,0.816,2.711,0.517,0.2869
XRPUSDT,1h,1,-0.8..-0.4,9165,1.699,0.883,0.816,0.0,0.4935,0.1371
XRPUSDT,1h,1,-0.4..-0.1,4355,-2.512,-3.328,0.816,-1.344,0.4859,0.0651
XRPUSDT,1h,1,flat,2457,-0.899,-1.715,0.816,0.0,0.4974,0.0367
XRPUSDT,1h,1,0.1..0.4,3925,-1.382,-2.198,0.816,0.0,0.4994,0.0587
XRPUSDT,1h,1,0.4..0.8,6604,0.229,-0.587,0.816,1.273,0.5048,0.0988
XRPUSDT,1h,1,>=0.8,21181,2.275,1.459,0.816,0.0,0.4931,0.3167
XRPUSDT,1h,4,<=-0.8,19186,0.827,-2.142,2.969,6.407,0.5254,0.2869
XRPUSDT,1h,4,-0.8..-0.4,9165,5.066,2.097,2.969,-0.724,0.4943,0.1371
XRPUSDT,1h,4,-0.4..-0.1,4355,-3.748,-6.717,2.969,-4.813,0.4758,0.0651
XRPUSDT,1h,4,flat,2456,-1.053,-4.022,2.969,0.0,0.4947,0.0367
XRPUSDT,1h,4,0.1..0.4,3923,-4.435,-7.404,2.969,-0.619,0.4932,0.0587
XRPUSDT,1h,4,0.4..0.8,6604,-2.171,-5.141,2.969,0.0,0.4973,0.0988
XRPUSDT,1h,4,>=0.8,21181,8.824,5.855,2.969,-4.453,0.4792,0.3167
XRPUSDT,1h,16,<=-0.8,19186,9.848,-1.725,11.573,19.592,0.5394,0.287
XRPUSDT,1h,16,-0.8..-0.4,9162,6.724,-4.848,11.573,-3.451,0.4893,0.137
XRPUSDT,1h,16,-0.4..-0.1,4353,-7.986,-19.559,11.573,-12.148,0.4696,0.0651
XRPUSDT,1h,16,flat,2452,-11.756,-23.329,11.573,-12.884,0.4784,0.0367
XRPUSDT,1h,16,0.1..0.4,3920,6.331,-5.242,11.573,-5.63,0.4857,0.0586
XRPUSDT,1h,16,0.4..0.8,6604,0.576,-10.996,11.573,-6.168,0.487,0.0988
XRPUSDT,1h,16,>=0.8,21181,26.351,14.779,11.573,-21.252,0.4602,0.3168
XRPUSDT,4h,1,<=-0.8,5085,-0.351,-3.307,2.956,1.78,0.5032,0.3078
XRPUSDT,4h,1,-0.8..-0.4,2306,3.988,1.032,2.956,1.341,0.5061,0.1396
XRPUSDT,4h,1,-0.4..-0.1,1141,-2.494,-5.45,2.956,-4.257,0.4759,0.0691
XRPUSDT,4h,1,flat,569,-4.163,-7.119,2.956,-1.412,0.4868,0.0344
XRPUSDT,4h,1,0.1..0.4,894,4.997,2.041,2.956,-2.11,0.4899,0.0541
XRPUSDT,4h,1,0.4..0.8,1530,5.961,3.005,2.956,1.617,0.5046,0.0926
XRPUSDT,4h,1,>=0.8,4994,6.617,3.661,2.956,0.0,0.4998,0.3023
XRPUSDT,4h,4,<=-0.8,5085,-0.277,-12.196,11.919,9.691,0.5178,0.3079
XRPUSDT,4h,4,-0.8..-0.4,2306,8.015,-3.904,11.919,-10.317,0.4766,0.1396
XRPUSDT,4h,4,-0.4..-0.1,1141,-1.774,-13.693,11.919,-13.109,0.4733,0.0691
XRPUSDT,4h,4,flat,566,15.098,3.179,11.919,-25.196,0.4541,0.0343
XRPUSDT,4h,4,0.1..0.4,894,3.944,-7.975,11.919,-2.116,0.4966,0.0541
XRPUSDT,4h,4,0.4..0.8,1530,26.117,14.198,11.919,5.172,0.5118,0.0926
XRPUSDT,4h,4,>=0.8,4994,25.986,14.067,11.919,-9.577,0.4822,0.3024
XRPUSDT,4h,16,<=-0.8,5085,31.827,-15.982,47.809,22.343,0.5261,0.3081
XRPUSDT,4h,16,-0.8..-0.4,2306,19.834,-27.975,47.809,-30.146,0.4779,0.1397
XRPUSDT,4h,16,-0.4..-0.1,1141,-17.491,-65.3,47.809,-33.328,0.4698,0.0691
XRPUSDT,4h,16,flat,561,17.888,-29.921,47.809,-64.443,0.426,0.034
XRPUSDT,4h,16,0.1..0.4,887,-78.304,-126.113,47.809,-69.666,0.4036,0.0537
XRPUSDT,4h,16,0.4..0.8,1530,4.032,-43.777,47.809,-43.619,0.4575,0.0927
XRPUSDT,4h,16,>=0.8,4994,131.091,83.282,47.809,-29.425,0.476,0.3026
BNBUSDT,15m,1,<=-0.8,65602,-0.014,-0.15,0.136,0.593,0.505,0.2445
BNBUSDT,15m,1,-0.8..-0.4,34402,-0.178,-0.314,0.136,0.0,0.4886,0.1282
BNBUSDT,15m,1,-0.4..-0.1,16979,-0.15,-0.286,0.136,0.0,0.4851,0.0633
BNBUSDT,15m,1,flat,9379,0.453,0.317,0.136,0.0,0.4891,0.035
BNBUSDT,15m,1,0.1..0.4,14884,0.529,0.393,0.136,0.0,0.4978,0.0555
BNBUSDT,15m,1,0.4..0.8,26269,0.131,-0.005,0.136,0.0,0.4935,0.0979
BNBUSDT,15m,1,>=0.8,100783,0.303,0.167,0.136,0.0,0.485,0.3756
BNBUSDT,15m,4,<=-0.8,65599,0.021,-0.929,0.95,3.733,0.5266,0.2445
BNBUSDT,15m,4,-0.8..-0.4,34402,-0.046,-0.996,0.95,1.419,0.5068,0.1282
BNBUSDT,15m,4,-0.4..-0.1,16979,-0.336,-1.286,0.95,0.0,0.4992,0.0633
BNBUSDT,15m,4,flat,9379,2.137,1.187,0.95,0.95,0.5055,0.035
BNBUSDT,15m,4,0.1..0.4,14884,2.909,1.959,0.95,0.931,0.5045,0.0555
BNBUSDT,15m,4,0.4..0.8,26269,1.714,0.764,0.95,0.986,0.5049,0.0979
BNBUSDT,15m,4,>=0.8,100783,1.513,0.563,0.95,0.0,0.4871,0.3756
BNBUSDT,15m,16,<=-0.8,65588,1.586,-2.534,4.12,9.514,0.5404,0.2445
BNBUSDT,15m,16,-0.8..-0.4,34402,-0.938,-5.059,4.12,4.709,0.5195,0.1282
BNBUSDT,15m,16,-0.4..-0.1,16979,2.251,-1.869,4.12,4.892,0.5203,0.0633
BNBUSDT,15m,16,flat,9378,8.819,4.699,4.12,6.382,0.5277,0.035
BNBUSDT,15m,16,0.1..0.4,14884,8.168,4.048,4.12,5.409,0.5236,0.0555
BNBUSDT,15m,16,0.4..0.8,26269,7.886,3.766,4.12,4.688,0.5221,0.0979
BNBUSDT,15m,16,>=0.8,100783,5.794,1.674,4.12,-2.603,0.485,0.3757
