symbol,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,dcrowd,48,288,0.05,2016,144,False,1838,0.839,-21.64,0.4619,0.7607,-39775.0,0.6373,-65507.0,0.5349,-91239.0,0.4502,-116971.0
BTCUSDT,dcrowd,48,288,0.05,2016,288,True,1291,0.589,27.79,0.5306,1.282,35881.6,1.131,17807.6,0.9982,-266.4,0.8815,-18340.4
BTCUSDT,dcrowd,48,288,0.05,2016,288,False,1291,0.589,-27.79,0.4694,0.78,-35881.6,0.688,-53955.6,0.6071,-72029.6,0.536,-90103.6
BTCUSDT,dcrowd,48,288,0.05,2016,576,True,793,0.362,21.89,0.4994,1.1547,17359.9,1.0531,6257.9,0.9608,-4844.1,0.8771,-15946.1
BTCUSDT,dcrowd,48,288,0.05,2016,576,False,793,0.362,-21.89,0.5006,0.866,-17359.9,0.7895,-28461.9,0.7197,-39563.9,0.6561,-50665.9
BTCUSDT,dcrowd,48,288,0.05,2016,864,True,585,0.267,24.21,0.5179,1.1393,14160.0,1.0565,5970.0,0.9798,-2220.0,0.9091,-10410.0
BTCUSDT,dcrowd,48,288,0.05,2016,864,False,585,0.267,-24.21,0.4821,0.8777,-14160.0,0.8139,-22350.0,0.7548,-30540.0,0.7001,-38730.0
BTCUSDT,dcrowd,48,288,0.05,8640,96,True,1973,0.901,15.75,0.5241,1.2496,31070.5,1.0249,3448.5,0.8429,-24173.5,0.6959,-51795.5
BTCUSDT,dcrowd,48,288,0.05,8640,96,False,1973,0.901,-15.75,0.4759,0.8002,-31070.5,0.6561,-58692.5,0.5387,-86314.5,0.4438,-113936.5
BTCUSDT,dcrowd,48,288,0.05,8640,144,True,1672,0.763,16.81,0.5239,1.2219,28111.0,1.034,4703.0,0.8759,-18705.0,0.7433,-42113.0
BTCUSDT,dcrowd,48,288,0.05,8640,144,False,1672,0.763,-16.81,0.4761,0.8184,-28111.0,0.6925,-51519.0,0.5868,-74927.0,0.4982,-98335.0
BTCUSDT,dcrowd,48,288,0.05,8640,288,True,1191,0.544,38.05,0.5357,1.3958,45320.7,1.2339,28646.7,1.0914,11972.7,0.9664,-4701.3
BTCUSDT,dcrowd,48,288,0.05,8640,288,False,1191,0.544,-38.05,0.4643,0.7165,-45320.7,0.6331,-61994.7,0.5593,-78668.7,0.4941,-95342.7
BTCUSDT,dcrowd,48,288,0.05,8640,576,True,741,0.338,38.73,0.5358,1.2809,28699.3,1.1711,18325.3,1.0708,7951.3,0.9794,-2422.7
BTCUSDT,dcrowd,48,288,0.05,8640,576,False,741,0.338,-38.73,0.4642,0.7807,-28699.3,0.714,-39073.3,0.6531,-49447.3,0.5977,-59821.3
BTCUSDT,dcrowd,48,288,0.05,8640,864,True,563,0.257,41.56,0.4991,1.2426,23400.1,1.1544,15518.1,1.073,7636.1,0.9977,-245.9
BTCUSDT,dcrowd,48,288,0.05,8640,864,False,563,0.257,-41.56,0.5009,0.8048,-23400.1,0.7475,-31282.1,0.6943,-39164.1,0.6448,-47046.1
BTCUSDT,dcrowd,48,288,0.1,2016,96,True,3408,1.556,13.11,0.5123,1.2269,44691.3,0.9864,-3020.7,0.7958,-50732.7,0.6452,-98444.7
BTCUSDT,dcrowd,48,288,0.1,2016,96,False,3408,1.556,-13.11,0.4877,0.815,-44691.3,0.6545,-92403.3,0.5268,-140115.3,0.4259,-187827.3
BTCUSDT,dcrowd,48,288,0.1,2016,144,True,2633,1.202,14.0,0.5158,1.1938,36858.4,1.0,-3.6,0.8389,-36865.6,0.7054,-73727.6
BTCUSDT,dcrowd,48,288,0.1,2016,144,False,2633,1.202,-14.0,0.4842,0.8376,-36858.4,0.7013,-73720.4,0.588,-110582.4,0.494,-147444.4
BTCUSDT,dcrowd,48,288,0.1,2016,288,True,1635,0.747,18.82,0.5254,1.1878,30765.2,1.045,7875.2,0.9197,-15014.8,0.8101,-37904.8
BTCUSDT,dcrowd,48,288,0.1,2016,288,False,1635,0.747,-18.82,0.4746,0.8419,-30765.2,0.7407,-53655.2,0.6517,-76545.2,0.574,-99435.2
BTCUSDT,dcrowd,48,288,0.1,2016,576,True,932,0.426,28.91,0.5225,1.2122,26941.9,1.1042,13893.9,1.006,845.9,0.9169,-12202.1
BTCUSDT,dcrowd,48,288,0.1,2016,576,False,932,0.426,-28.91,0.4775,0.825,-26941.9,0.7515,-39989.9,0.6848,-53037.9,0.6244,-66085.9
BTCUSDT,dcrowd,48,288,0.1,2016,864,True,640,0.292,70.32,0.5484,1.4579,45003.0,1.352,36043.0,1.2539,27083.0,1.1631,18123.0
BTCUSDT,dcrowd,48,288,0.1,2016,864,False,640,0.292,-70.32,0.4516,0.6859,-45003.0,0.6361,-53963.0,0.59,-62923.0,0.5473,-71883.0
