symbol,seed,signal,look,win,q,band,hold,contrarian,trades,tpd,avg_bps,win_rate,pf_0x,tot_0x,pf_1x,tot_1x,pf_2x,tot_2x,pf_3x,tot_3x
BTCUSDT,2,dcrowd,12,288,0.05,8640,288,False,1549,0.707,8.59,0.5042,1.0875,13304.8,0.9486,-8381.2,0.8278,-30067.2,0.7231,-51753.2
BTCUSDT,2,dcrowd,12,288,0.05,8640,576,True,911,0.416,22.94,0.506,1.1683,20896.1,1.0624,8142.1,0.9664,-4611.9,0.8796,-17365.9
BTCUSDT,2,dcrowd,12,288,0.05,8640,576,False,911,0.416,-22.94,0.494,0.8559,-20896.1,0.7781,-33650.1,0.7072,-46404.1,0.6428,-59158.1
BTCUSDT,2,dcrowd,12,288,0.05,8640,864,True,639,0.292,-0.02,0.5008,0.9999,-11.9,0.9285,-8957.9,0.8621,-17903.9,0.8005,-26849.9
BTCUSDT,2,dcrowd,12,288,0.05,8640,864,False,639,0.292,0.02,0.4992,1.0001,11.9,0.9287,-8934.1,0.8624,-17880.1,0.801,-26826.1
BTCUSDT,0,dcrowd,12,288,0.1,2016,96,True,4487,2.049,-0.8,0.5086,0.9859,-3592.8,0.7696,-66410.8,0.6029,-129228.8,0.4757,-192046.8
BTCUSDT,0,dcrowd,12,288,0.1,2016,96,False,4487,2.049,0.8,0.4912,1.0143,3592.8,0.7926,-59225.2,0.6224,-122043.2,0.4923,-184861.2
BTCUSDT,0,dcrowd,12,288,0.1,2016,144,True,3270,1.493,1.98,0.5049,1.0282,6462.6,0.8445,-39317.4,0.6954,-85097.4,0.5749,-130877.4
BTCUSDT,0,dcrowd,12,288,0.1,2016,144,False,3270,1.493,-1.98,0.4951,0.9725,-6462.6,0.7987,-52242.6,0.6572,-98022.6,0.5427,-143802.6
BTCUSDT,0,dcrowd,12,288,0.1,2016,288,True,1848,0.844,5.21,0.5211,1.0511,9631.1,0.9193,-16240.9,0.8042,-42112.9,0.7041,-67984.9
BTCUSDT,0,dcrowd,12,288,0.1,2016,288,False,1848,0.844,-5.21,0.4789,0.9514,-9631.1,0.8326,-35503.1,0.7295,-61375.1,0.6403,-87247.1
BTCUSDT,0,dcrowd,12,288,0.1,2016,576,True,1006,0.459,-0.8,0.497,0.9946,-803.6,0.9048,-14887.6,0.8232,-28971.6,0.7493,-43055.6
BTCUSDT,0,dcrowd,12,288,0.1,2016,576,False,1006,0.459,0.8,0.503,1.0054,803.6,0.9146,-13280.4,0.8321,-27364.4,0.7573,-41448.4
BTCUSDT,0,dcrowd,12,288,0.1,2016,864,True,684,0.312,24.69,0.5161,1.1441,16886.0,1.06,7310.0,0.9821,-2266.0,0.91,-11842.0
BTCUSDT,0,dcrowd,12,288,0.1,2016,864,False,684,0.312,-24.69,0.4839,0.8741,-16886.0,0.8098,-26462.0,0.7503,-36038.0,0.6953,-45614.0
BTCUSDT,1,dcrowd,12,288,0.1,2016,96,True,4503,2.056,1.46,0.497,1.0263,6560.9,0.8009,-56481.1,0.6284,-119523.1,0.4972,-182565.1
BTCUSDT,1,dcrowd,12,288,0.1,2016,96,False,4503,2.056,-1.46,0.5026,0.9744,-6560.9,0.7599,-69602.9,0.5948,-132644.9,0.4686,-195686.9
BTCUSDT,1,dcrowd,12,288,0.1,2016,144,True,3304,1.509,3.34,0.5067,1.0482,11022.7,0.8606,-35233.3,0.7082,-81489.3,0.5848,-127745.3
BTCUSDT,1,dcrowd,12,288,0.1,2016,144,False,3304,1.509,-3.34,0.4933,0.954,-11022.7,0.7835,-57278.7,0.6449,-103534.7,0.5327,-149790.7
BTCUSDT,1,dcrowd,12,288,0.1,2016,288,True,1853,0.846,10.98,0.51,1.109,20348.4,0.972,-5593.6,0.8525,-31535.6,0.7488,-57477.6
BTCUSDT,1,dcrowd,12,288,0.1,2016,288,False,1853,0.846,-10.98,0.49,0.9017,-20348.4,0.7902,-46290.4,0.6928,-72232.4,0.6079,-98174.4
BTCUSDT,1,dcrowd,12,288,0.1,2016,576,True,1003,0.458,13.48,0.5035,1.0983,13519.4,0.9964,-522.6,0.9042,-14564.6,0.8211,-28606.6
BTCUSDT,1,dcrowd,12,288,0.1,2016,576,False,1003,0.458,-13.48,0.4965,0.9105,-13519.4,0.8259,-27561.4,0.7493,-41603.4,0.68,-55645.4
BTCUSDT,1,dcrowd,12,288,0.1,2016,864,True,686,0.313,19.6,0.5379,1.1134,13443.2,1.0312,3839.2,0.9549,-5764.8,0.8842,-15368.8
BTCUSDT,1,dcrowd,12,288,0.1,2016,864,False,686,0.313,-19.6,0.4621,0.8982,-13443.2,0.8321,-23047.2,0.7712,-32651.2,0.715,-42255.2
BTCUSDT,2,dcrowd,12,288,0.1,2016,96,True,4511,2.06,3.72,0.5003,1.0673,16766.1,0.8358,-46387.9,0.6577,-109541.9,0.522,-172695.9
BTCUSDT,2,dcrowd,12,288,0.1,2016,96,False,4511,2.06,-3.72,0.4997,0.9369,-16766.1,0.7332,-79920.1,0.5757,-143074.1,0.4548,-206228.1
BTCUSDT,2,dcrowd,12,288,0.1,2016,144,True,3293,1.504,-1.68,0.4947,0.9765,-5528.7,0.8014,-51630.7,0.6593,-97732.7,0.5444,-143834.7
BTCUSDT,2,dcrowd,12,288,0.1,2016,144,False,3293,1.504,1.68,0.505,1.0241,5528.7,0.8403,-40573.3,0.691,-86675.3,0.5706,-132777.3
BTCUSDT,2,dcrowd,12,288,0.1,2016,288,True,1853,0.846,-8.87,0.4965,0.919,-16435.7,0.8041,-42377.7,0.704,-68319.7,0.6171,-94261.7
BTCUSDT,2,dcrowd,12,288,0.1,2016,288,False,1853,0.846,8.87,0.5035,1.0882,16435.7,0.9524,-9506.3,0.8344,-35448.3,0.732,-61390.3
BTCUSDT,2,dcrowd,12,288,0.1,2016,576,True,1000,0.457,19.0,0.512,1.1346,19004.7,1.0338,5004.7,0.9421,-8995.3,0.859,-22995.3
BTCUSDT,2,dcrowd,12,288,0.1,2016,576,False,1000,0.457,-19.0,0.488,0.8814,-19004.7,0.803,-33004.7,0.7315,-47004.7,0.6666,-61004.7
BTCUSDT,2,dcrowd,12,288,0.1,2016,864,True,685,0.313,-6.75,0.5036,0.9634,-4624.2,0.8917,-14214.2,0.8254,-23804.2,0.7641,-33394.2
BTCUSDT,2,dcrowd,12,288,0.1,2016,864,False,685,0.313,6.75,0.4964,1.038,4624.2,0.9608,-4965.8,0.8894,-14555.8,0.8235,-24145.8
