ts,hour,year,ticks,median_bps,mean_bps,p90_bps,sym
2024-06-21 09:00:00+00:00,9,2024,2677,9.853511134466789,9.8539480524318,9.866798223976694,XAGUSD
2024-07-10 17:00:00+00:00,17,2024,5465,9.756414842758327,9.752950225152205,9.772941981301475,XAGUSD
2024-11-06 21:00:00+00:00,21,2024,1278,9.62216947847878,9.633901778816897,9.626801014023405,XAGUSD
2024-11-15 13:00:00+00:00,13,2024,14798,9.782821365682233,9.806517633199235,9.813863718146207,XAGUSD
2024-11-25 01:00:00+00:00,1,2024,10044,9.632674030310039,9.63759238168112,9.657792228696886,XAGUSD
2024-11-25 05:00:00+00:00,5,2024,6686,9.771986970684411,9.772586194352527,9.798798014110641,XAGUSD
2024-11-25 09:00:00+00:00,9,2024,4550,9.739943508326867,9.739477897196066,9.745638826624301,XAGUSD
2024-12-04 09:00:00+00:00,9,2024,3687,9.728257344834665,9.632272822223003,9.735202492212208,XAGUSD
2024-12-04 17:00:00+00:00,17,2024,5911,9.560838804258122,9.565267465367778,9.588647041902751,XAGUSD
2024-12-04 21:00:00+00:00,21,2024,947,9.584664536741577,9.673252461619077,9.58711491755004,XAGUSD
2024-12-12 05:00:00+00:00,5,2024,5015,13.35714840413117,13.703732635974973,17.11194010544353,XAGUSD
2024-12-12 09:00:00+00:00,9,2024,1173,26.414332105844043,26.924298804050675,34.726528587375014,XAGUSD
2024-12-12 17:00:00+00:00,17,2024,6713,11.577424023154146,11.586347537774841,13.824810712620527,XAGUSD
2024-12-12 21:00:00+00:00,21,2024,1449,14.867965997607994,16.06643222730846,19.46149431264789,XAGUSD
2024-12-23 01:00:00+00:00,1,2024,3981,13.502109704641063,13.490453935874148,14.543978623733494,XAGUSD
2025-01-28 05:00:00+00:00,5,2025,1213,11.951000896324341,12.327474214001098,14.599508925609028,XAGUSD
2025-01-28 09:00:00+00:00,9,2025,4140,9.971083856815614,9.97347377815212,9.984690141782979,XAGUSD
2025-01-28 13:00:00+00:00,13,2025,5279,9.939369843952269,10.200749341173983,9.956919729068234,XAGUSD
2025-01-28 17:00:00+00:00,17,2025,4329,9.868421052630787,9.86841043500421,9.876218066894122,XAGUSD
2025-01-28 21:00:00+00:00,21,2025,881,11.514862397394399,12.662774793964783,16.766663927016335,XAGUSD
2025-02-06 01:00:00+00:00,1,2025,4104,11.728757060402081,11.745584177495523,12.960562858730356,XAGUSD
2025-02-06 05:00:00+00:00,5,2025,1886,9.30347950133385,9.846232840767767,10.863155283661595,XAGUSD
2025-02-06 09:00:00+00:00,9,2025,3612,9.34958082712439,9.124889673243773,9.364757296704864,XAGUSD
2025-02-06 13:00:00+00:00,13,2025,5635,9.37675814215201,9.798404245117386,10.625664104006162,XAGUSD
2025-02-06 17:00:00+00:00,17,2025,3525,9.322560596644232,9.32950341141094,9.335905894068942,XAGUSD
2025-02-06 21:00:00+00:00,21,2025,1497,9.919097362141157,10.049608742337453,11.161752395126456,XAGUSD
2025-02-14 01:00:00+00:00,1,2025,5945,12.631124940309254,18.449155511833677,42.193973977136054,XAGUSD
2025-02-14 05:00:00+00:00,5,2025,3853,15.05862106055701,14.615187001809964,17.521479181716845,XAGUSD
2025-02-14 09:00:00+00:00,9,2025,4692,9.031791907514794,9.036867058197842,9.041046350431298,XAGUSD
2025-02-14 13:00:00+00:00,13,2025,13713,9.047317470370379,9.324928330195483,9.299674511391741,XAGUSD
2025-02-14 17:00:00+00:00,17,2025,9873,9.264692257805853,9.306033820012374,9.275003864585296,XAGUSD
2025-02-14 21:00:00+00:00,21,2025,1426,9.95164124573824,10.737506216838112,12.437810945273368,XAGUSD
2025-02-25 01:00:00+00:00,1,2025,6265,9.2724238115847,9.473108564103754,9.91725292094201,XAGUSD
2025-02-25 05:00:00+00:00,5,2025,2882,9.283327144448922,9.453765017612627,9.904361013960067,XAGUSD
2025-02-25 09:00:00+00:00,9,2025,4446,9.311853990129787,9.315392096991758,9.31821711445912,XAGUSD
2025-02-25 13:00:00+00:00,13,2025,11355,9.373242517028412,9.282560407375794,9.417969485779222,XAGUSD
2025-02-25 17:00:00+00:00,17,2025,11067,9.532282663954494,9.540640060749187,9.54714699423912,XAGUSD
2025-02-25 21:00:00+00:00,21,2025,3630,9.45358290792134,10.118003046696446,11.968880909635029,XAGUSD
2025-03-05 01:00:00+00:00,1,2025,5254,10.035122930255906,9.969770765101005,10.684096408257838,XAGUSD
2025-03-05 05:00:00+00:00,5,2025,3295,9.370900231150337,9.440476701136719,9.379396592152927,XAGUSD
2025-03-05 09:00:00+00:00,9,2025,4523,9.285625851182722,9.35441185932682,9.595295210090166,XAGUSD
2025-03-05 13:00:00+00:00,13,2025,13733,9.317638289281962,9.54640935465311,9.99781297841209,XAGUSD
2025-03-05 17:00:00+00:00,17,2025,12279,9.233610341643933,9.389277834703982,9.85227741699629,XAGUSD
2025-03-05 21:00:00+00:00,21,2025,921,9.812940815699626,10.254153575806354,11.632890467153558,XAGUSD
2025-03-14 01:00:00+00:00,1,2025,7065,8.887308922858494,8.982167654549455,9.192402923776834,XAGUSD
2025-03-14 05:00:00+00:00,5,2025,3438,8.87311446317691,8.886103739453286,8.877578196668285,XAGUSD
2025-03-14 09:00:00+00:00,9,2025,4461,8.832621816574129,8.83518375594958,8.842254185333983,XAGUSD
2025-03-14 13:00:00+00:00,13,2025,13763,8.849296480928007,8.854144818611704,8.878629139661172,XAGUSD
2025-03-14 17:00:00+00:00,17,2025,6746,8.882046423494208,8.419611495589091,8.890996384328474,XAGUSD
2025-03-24 05:00:00+00:00,5,2025,3182,9.047317470370379,9.128231930730779,9.352420315870093,XAGUSD
2025-03-24 09:00:00+00:00,9,2025,4383,9.034783918084969,9.037834105432902,9.050046758575263,XAGUSD
2025-03-24 13:00:00+00:00,13,2025,6489,9.051412020275507,9.147157362505524,9.059885845438691,XAGUSD
