legs,n_legs,target,risk,mean_corr,active_days_per_day,cagr,max_dd,sharpe,pass_rate,fail_max,fail_daily,median_days,p25_days,pass_within_7,pass_within_14,pass_within_30
BTCUSDT 1h + AUDUSD 1h,2,5%,0.03,0.068,0.27,0.8584,-0.2139,1.44,0.1719,0.1443,0.6664,21.0,15.0,0.0009,0.0377,0.1636
BTCUSDT 1h + XAUUSD 1h,2,8%,0.005,-0.031,0.282,0.2164,-0.0583,1.37,0.6268,0.0138,0.0,67.0,34.0,0.0,0.0138,0.1406
BTCUSDT 1h + XAUUSD 1h,2,5%,0.005,-0.031,0.282,0.2164,-0.0583,1.37,0.7638,0.0138,0.0,55.0,29.0,0.0,0.0312,0.204
BTCUSDT 1h + XAUUSD 1h,2,8%,0.0075,-0.031,0.282,0.3008,-0.0714,1.37,0.705,0.1581,0.0,55.0,29.0,0.0,0.0312,0.1921
BTCUSDT 1h + XAUUSD 1h,2,5%,0.0075,-0.031,0.282,0.3008,-0.0714,1.37,0.8585,0.0671,0.0,43.0,24.0,0.0,0.0506,0.307
BTCUSDT 1h + XAUUSD 1h,2,8%,0.01,-0.031,0.282,0.3756,-0.0803,1.37,0.7004,0.2555,0.0,40.0,24.0,0.0,0.0368,0.2537
BTCUSDT 1h + XAUUSD 1h,2,5%,0.01,-0.031,0.282,0.3756,-0.0803,1.37,0.7638,0.2142,0.0,33.0,21.0,0.0,0.068,0.3621
BTCUSDT 1h + XAUUSD 1h,2,8%,0.015,-0.031,0.282,0.5048,-0.0919,1.37,0.6121,0.3539,0.0119,27.0,19.25,0.0,0.0625,0.3483
BTCUSDT 1h + XAUUSD 1h,2,5%,0.015,-0.031,0.282,0.5048,-0.0919,1.37,0.6654,0.3006,0.0119,26.0,18.0,0.0,0.0818,0.3961
BTCUSDT 1h + XAUUSD 1h,2,8%,0.02,-0.031,0.282,0.6152,-0.1065,1.37,0.4357,0.2592,0.2831,24.0,18.0,0.0,0.057,0.295
BTCUSDT 1h + XAUUSD 1h,2,5%,0.02,-0.031,0.282,0.6152,-0.1065,1.37,0.4522,0.2564,0.2693,22.0,17.0,0.0,0.0634,0.329
BTCUSDT 1h + XAUUSD 1h,2,8%,0.03,-0.031,0.282,0.7998,-0.1448,1.37,0.2831,0.1489,0.546,20.0,15.0,0.0,0.0588,0.2564
BTCUSDT 1h + XAUUSD 1h,2,5%,0.03,-0.031,0.282,0.7998,-0.1448,1.37,0.307,0.148,0.523,19.0,15.0,0.0,0.068,0.2868
BTCUSDT 1h + USDJPY 15m,2,8%,0.005,0.059,0.329,0.2655,-0.1348,1.28,0.5542,0.3686,0.0,43.0,24.0,0.0037,0.0515,0.1884
BTCUSDT 1h + USDJPY 15m,2,5%,0.005,0.059,0.329,0.2655,-0.1348,1.28,0.6176,0.3392,0.0,33.5,21.0,0.0037,0.0735,0.2776
BTCUSDT 1h + USDJPY 15m,2,8%,0.0075,0.059,0.329,0.3648,-0.1585,1.28,0.5506,0.4127,0.0,31.0,21.0,0.0037,0.0708,0.2638
BTCUSDT 1h + USDJPY 15m,2,5%,0.0075,0.059,0.329,0.3648,-0.1585,1.28,0.5965,0.3713,0.0,24.0,17.0,0.0037,0.0983,0.3796
BTCUSDT 1h + USDJPY 15m,2,8%,0.01,0.059,0.329,0.4515,-0.1738,1.28,0.5092,0.409,0.045,25.0,17.0,0.0037,0.0827,0.3199
BTCUSDT 1h + USDJPY 15m,2,5%,0.01,0.059,0.329,0.4515,-0.1738,1.28,0.5662,0.3649,0.045,21.0,16.0,0.0037,0.1094,0.432
BTCUSDT 1h + USDJPY 15m,2,8%,0.015,0.059,0.329,0.5995,-0.1923,1.28,0.4219,0.4007,0.1645,19.0,15.0,0.0037,0.102,0.3686
BTCUSDT 1h + USDJPY 15m,2,5%,0.015,0.059,0.329,0.5995,-0.1923,1.28,0.4743,0.364,0.1489,19.0,14.0,0.0037,0.1204,0.4384
BTCUSDT 1h + USDJPY 15m,2,8%,0.02,0.059,0.329,0.7245,-0.2032,1.28,0.2188,0.2086,0.5689,19.0,15.0,0.0018,0.0533,0.2022
BTCUSDT 1h + USDJPY 15m,2,5%,0.02,0.059,0.329,0.7245,-0.2032,1.28,0.2362,0.2086,0.5515,18.0,14.0,0.0028,0.0643,0.2206
BTCUSDT 1h + USDJPY 15m,2,8%,0.03,0.059,0.329,0.9315,-0.2153,1.28,0.1287,0.2132,0.6544,18.0,15.0,0.0,0.0294,0.1176
BTCUSDT 1h + USDJPY 15m,2,5%,0.03,0.059,0.329,0.9315,-0.2153,1.28,0.136,0.2132,0.6471,17.5,14.0,0.0,0.0358,0.125
BTCUSDT 1h + NZDUSD 4h,2,8%,0.005,0.0,0.268,0.2023,-0.0569,1.26,0.636,0.0119,0.0,82.0,37.0,0.0,0.0083,0.1094
