symbol,tf,floor,topn,quarters,q_above_1,pf,trades,trades_per_day,trades_per_week,avg_hold_h,win_rate,avg_r,max_dd_r,max_dd_pct,sharpe,days_to_target,days_to_breach,pf_2x
USDCAD,15m,100,10,7,1,0.698,2577,4.055,28.38,10.52,0.2619,-0.0261,-77.07,-0.578,-2.141,1172.1,92.9,0.526
NZDUSD,30m,30,10,7,3,0.683,811,1.284,8.99,6.51,0.2466,-0.0291,-44.9,-0.3368,-1.243,2909.5,259.8,0.521
USDCAD,1h,100,10,7,0,0.682,2126,3.347,23.43,9.42,0.3467,-0.0191,-41.12,-0.3084,-2.82,246018.4,167.2,0.487
USDCAD,5m,100,10,7,0,0.681,3406,5.351,37.45,8.88,0.227,-0.0312,-109.41,-0.8206,-2.684,730.8,58.7,0.499
NZDUSD,1h,30,10,7,2,0.681,869,1.367,9.57,11.49,0.2911,-0.0233,-21.43,-0.1607,-2.061,809630.6,334.7,0.546
NZDUSD,5m,100,1,7,2,0.669,247,0.39,2.73,7.4,0.1741,-0.3604,-99.63,-0.7472,-1.468,110.4,45.0,0.495
AUDUSD,30m,100,10,7,0,0.667,2476,3.897,27.28,8.02,0.2112,-0.0312,-79.61,-0.5971,-2.812,3874.8,85.9,0.53
AUDUSD,1h,100,1,7,2,0.664,284,0.449,3.14,10.18,0.243,-0.2923,-113.52,-0.8514,-1.366,105.8,46.0,0.528
USDCHF,5m,30,10,7,1,0.659,1708,2.696,18.87,12.4,0.2149,-0.0318,-56.12,-0.4209,-1.767,924.6,109.7,0.503
GBPUSD,1h,30,1,7,2,0.654,106,0.17,1.19,7.07,0.3113,-0.2527,-32.08,-0.2406,-1.185,1426.2,211.3,0.501
EURUSD,30m,30,1,7,0,0.646,90,0.142,1.0,7.05,0.3222,-0.2467,-27.75,-0.2081,-1.184,2859.0,275.3,0.534
USDJPY,5m,30,1,7,1,0.641,87,0.139,0.97,8.38,0.2989,-0.2415,-30.93,-0.232,-1.053,1875.1,271.8,0.553
NZDUSD,30m,100,1,7,1,0.625,225,0.356,2.5,10.33,0.24,-0.3113,-77.12,-0.5784,-1.815,450.9,79.3,0.5
USDCAD,5m,100,1,7,1,0.622,315,0.513,3.59,9.62,0.1683,-0.4325,-158.74,-1.1906,-1.773,62.2,27.1,0.453
GBPUSD,30m,30,1,7,2,0.62,82,0.13,0.91,6.77,0.3049,-0.2695,-23.24,-0.1743,-1.264,4125.9,284.4,0.486
