sym,tf,thr,stop,hold,n,win,avg_r,pf,null_pf,tpd,days60,pass60,risk60
EURUSD,1h,0.5,1.0,384,530,6.0,0.0668,1.068,0.768,0.48,83.7,60.9,0.25
EURUSD,1h,0.5,1.25,96,1021,10.7,0.0653,1.07,0.704,0.93,,,
EURUSD,1h,0.5,1.25,192,701,8.0,0.0169,1.018,0.77,0.64,,,
EURUSD,1h,0.5,1.25,384,474,6.5,0.1008,1.103,0.574,0.43,,,
EURUSD,1h,0.5,1.5,96,891,13.6,0.0834,1.093,0.704,0.81,,,
EURUSD,1h,0.5,1.5,192,638,8.9,-0.0316,0.967,0.642,0.58,,,
EURUSD,1h,0.5,1.5,384,435,6.9,0.2472,1.257,0.5,0.4,101.6,61.0,0.25
EURUSD,1h,0.5,2.0,96,718,16.7,0.1319,1.155,0.796,0.66,,,
EURUSD,1h,0.5,2.0,192,487,12.1,-0.1826,0.798,0.647,0.44,,,
EURUSD,1h,0.5,2.0,384,334,9.3,-0.0526,0.943,0.845,0.3,,,
EURUSD,1h,0.75,0.75,96,1338,7.3,-0.0258,0.973,0.647,1.22,,,
EURUSD,1h,0.75,0.75,192,931,6.1,0.032,1.032,0.636,0.85,,,
EURUSD,1h,0.75,0.75,384,767,3.7,-0.1798,0.822,0.671,0.7,,,
EURUSD,1h,0.75,1.0,96,1098,9.6,0.1469,1.156,0.657,1.0,48.5,61.9,0.25
EURUSD,1h,0.75,1.0,192,793,7.3,0.0761,1.079,0.649,0.72,,,
EURUSD,1h,0.75,1.0,384,524,6.1,0.1311,1.134,0.726,0.48,,,
EURUSD,1h,0.75,1.25,96,994,11.0,0.1076,1.116,0.76,0.91,,,
EURUSD,1h,0.75,1.25,192,676,8.4,-0.0277,0.971,0.789,0.62,,,
EURUSD,1h,0.75,1.25,384,462,6.7,0.0064,1.007,0.525,0.42,,,
EURUSD,1h,0.75,1.5,96,899,12.8,0.023,1.026,0.789,0.82,,,
EURUSD,1h,0.75,1.5,192,609,9.2,-0.107,0.886,0.75,0.56,,,
EURUSD,1h,0.75,1.5,384,409,7.6,-0.0053,0.994,0.537,0.37,,,
EURUSD,1h,0.75,2.0,96,712,17.0,0.1255,1.148,0.82,0.65,,,
EURUSD,1h,0.75,2.0,192,470,13.2,-0.1068,0.88,0.795,0.43,,,
EURUSD,1h,0.75,2.0,384,314,9.9,0.1041,1.112,0.81,0.29,,,
EURUSD,1h,1.0,0.75,96,1293,7.4,0.0224,1.023,0.684,1.18,,,
EURUSD,1h,1.0,0.75,192,922,5.7,0.0716,1.073,0.518,0.84,,,
EURUSD,1h,1.0,0.75,384,760,3.4,-0.1477,0.853,0.508,0.69,,,
EURUSD,1h,1.0,1.0,96,1086,9.6,0.1288,1.137,0.623,0.99,52.5,62.9,0.25
EURUSD,1h,1.0,1.0,192,777,7.1,0.0927,1.096,0.678,0.71,,,
EURUSD,1h,1.0,1.0,384,525,5.9,0.0826,1.084,0.651,0.48,78.1,62.7,0.25
EURUSD,1h,1.0,1.25,96,973,11.5,0.1657,1.179,0.736,0.89,,,
EURUSD,1h,1.0,1.25,192,674,8.2,0.0274,1.029,0.734,0.61,,,
EURUSD,1h,1.0,1.25,384,452,6.6,-0.0377,0.961,0.416,0.41,,,
EURUSD,1h,1.0,1.5,96,922,12.3,0.0653,1.072,0.708,0.84,,,
EURUSD,1h,1.0,1.5,192,641,8.7,-0.0018,0.998,0.8,0.58,,,
