symbol,tf,quarter,floor,topn,train_pf,train_trades,n_eligible,test_trades,test_pf,test_pf_2x,test_total_r,test_tpd,test_win,anchor_hour,anchor_minute,mode,fill_mode,band_k,stop_mode,stop_k,target_mode,rr,max_hold_bars,min_rvol,min_atr_rank,max_atr_rank,warmup_bars,min_risk_bps,filter
BTCUSDT,4h,2022-07-01,100,10,2.224,101,4308,192,0.776,0.716,-1.232,2.091,0.3385,-1,24,4,1,2.0,1,2.0,3,1.0,0,0.0,0.7,0.0,2,10.0,ATRrank>0.7
BTCUSDT,4h,2022-10-01,30,1,4.511,40,7700,17,1.551,1.135,1.058,0.185,0.5294,0,0,1,1,1.5,1,2.0,3,1.0,0,1.5,0.0,0.0,2,10.0,rvol>1.5
BTCUSDT,4h,2022-10-01,30,10,4.511,40,7700,170,1.329,0.972,0.677,1.851,0.5059,0,0,1,1,1.5,1,2.0,3,1.0,0,1.5,0.0,0.0,2,10.0,rvol>1.5
BTCUSDT,4h,2022-10-01,100,1,1.574,102,3897,2,inf,inf,1.303,0.022,1.0,-1,24,4,1,2.0,1,2.0,3,1.0,0,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2022-10-01,100,10,1.574,102,3897,245,1.219,0.729,0.863,2.668,0.4245,-1,24,4,1,2.0,1,2.0,3,1.0,0,0.0,0.5,0.0,2,10.0,ATRrank>0.5
BTCUSDT,4h,2023-01-01,30,1,3.447,30,9264,23,0.549,0.286,-1.324,0.256,0.3043,8,0,3,1,2.0,1,1.0,3,3.0,1,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2023-01-01,30,10,3.447,30,9264,182,0.563,0.308,-0.796,2.026,0.3352,8,0,3,1,2.0,1,1.0,3,3.0,1,0.0,0.0,0.5,2,10.0,ATRrank<0.5
BTCUSDT,4h,2023-01-01,100,1,1.515,157,3180,31,0.796,0.662,-1.503,0.345,0.5161,0,0,1,1,2.0,1,2.0,3,1.0,3,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2023-01-01,100,10,1.515,157,3180,250,0.869,0.672,-0.877,2.783,0.46,0,0,1,1,2.0,1,2.0,3,1.0,3,0.0,0.0,0.0,2,10.0,none
BTCUSDT,4h,2023-04-01,30,1,2.323,37,8763,1,inf,inf,0.05,0.011,1.0,0,0,1,1,2.0,1,2.0,3,1.0,3,0.0,0.7,0.0,2,10.0,ATRrank>0.7
