tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,4,2.0,4,True,null0,13063,2209,5.913535536441829,1.4783838841104573,1.0512974415125762,0.559832123601283,0.30432709016626286,0.17139186422746702,0.38957360483809234,-0.0705888011425001,-922.1015093244788,923.3010884541201,1.0,-9.203044295282572,-0.4174293840309999,inf
15m,50,4,2.0,4,False,null0,13063,2209,5.913535536441829,1.4783838841104573,1.0595246335150323,0.7685748470337411,0.5593682681251191,0.40969911145528454,0.44599249789481743,-0.031090486636810057,-406.13502693664975,409.36191223063753,1.0,-4.141985891397248,-0.18385469757204606,inf
15m,50,4,2.5,1,True,null0,26164,2209,11.844273426889995,2.9610683567224987,1.0198114151086195,0.3928051490766779,0.16754203357056965,0.08079505332834411,0.31249044488610306,-0.1445722140890902,-3782.587409426956,3783.2522893578293,0.25,-19.6908278579831,-1.7123528336020626,inf
15m,50,4,2.5,1,False,null0,26164,2209,11.844273426889995,2.9610683567224987,1.017292859421947,0.6211464886529743,0.38545939104323057,0.24595983984946074,0.4026142791622076,-0.07042166762420883,-1842.5125117197997,1843.214205957464,0.25,-9.935368735332501,-0.8340934865186961,inf
15m,50,4,2.5,2,True,null0,13062,2209,5.913082842915347,1.4782707107288366,1.0078674011413207,0.45775959218926865,0.21876063803531234,0.1132075653746371,0.3493339457969683,-0.10309847209508924,-1346.6722425060557,1347.0960707823397,0.5,-11.897170631686077,-0.6096298064762588,inf
15m,50,4,2.5,2,False,null0,13062,2209,5.913082842915347,1.4782707107288366,1.0058189619669782,0.6711012355721035,0.45112497475846725,0.30738913831474957,0.4213749808605114,-0.05074328504075923,-662.8087892023971,663.3131490575273,0.5,-6.042045157233159,-0.30004924816767636,inf
15m,50,4,2.5,4,True,null0,6467,2209,2.9275690357627884,0.7318922589406971,1.0202228939794544,0.5436102546333356,0.2949681694319098,0.16544021141724768,0.38611411782897787,-0.07121829894281745,-460.5687392632004,461.92966968575325,1.0,-6.818578837769179,-0.2084964867646901,inf
15m,50,4,2.5,4,False,null0,6467,2209,2.9275690357627884,0.7318922589406971,1.028043168458674,0.7456427351668748,0.5423125933711498,0.39671252955540964,0.4444100819545384,-0.033242805903125006,-214.98122577550942,216.63687944223796,1.0,-3.2671868649767206,-0.09732060922386121,inf
15m,50,4,3.0,1,True,null0,13543,2209,6.130828429153463,1.5327071072883658,1.0117131057721949,0.3866027634944731,0.16418239306014218,0.07908615081110353,0.31093553865465556,-0.1378226367076152,-1866.5319689312325,1866.5452888129091,0.25,-14.462098933130566,-0.8449669393079369,inf
15m,50,4,3.0,1,False,null0,13543,2209,6.130828429153463,1.5327071072883658,1.0090994167934426,0.6122026826462863,0.3778032115223187,0.23983104972525707,0.4004282655246253,-0.06767893631260204,-916.5758344815695,916.646309864064,0.25,-7.385874043900968,-0.41492794680016726,inf
