tf,beta_win,L,z_thr,H,hedged,tag,trades,span_days,tpd,tpd_per_coin,pf_0x,pf,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
15m,50,16,2.0,4,True,real,16467,2208,7.457880434782608,1.864470108695652,1.031822479223969,0.2348263772898193,0.07328070922989327,0.030754927758583933,0.28329386044816907,-0.1888385642857912,-3109.604638094124,3110.462232943049,1.0,-25.360994801808413,-1.40833543391944,inf
15m,50,16,2.0,4,False,real,16467,2208,7.457880434782608,1.864470108695652,0.9899224413271839,0.5917669683640155,0.3606338440401435,0.2275640029970475,0.42515333697698426,-0.059117857328734265,-973.4937566322672,976.7961429396312,1.0,-9.309729344157475,-0.4408939115182369,inf
15m,50,16,2.5,1,True,real,28626,2208,12.964673913043478,3.2411684782608696,1.0107738558953172,0.11713754760315952,0.028808828283907652,0.010910536255045532,0.18591490253615595,-0.35619921625371553,-10196.558764478861,10196.558764478894,0.25,-50.822998404268446,-4.6180066868110785,inf
15m,50,16,2.5,1,False,real,28626,2208,12.964673913043478,3.2411684782608696,0.9841515408934318,0.42413048266585723,0.19585409864794653,0.1007694056171102,0.3747292670998393,-0.114956273556025,-3290.7382868147715,3290.868010776339,0.25,-19.89774887277458,-1.490370600912487,inf
15m,50,16,2.5,2,True,real,14337,2208,6.493206521739131,1.6233016304347827,1.0327021485237422,0.19289793045664022,0.057260725982826846,0.023671748519556668,0.24907581781404756,-0.25859337651760356,-3707.4532391328826,3707.640412887148,0.5,-27.429632026574826,-1.6791001988826462,inf
15m,50,16,2.5,2,False,real,14337,2208,6.493206521739131,1.6233016304347827,1.0061040386437836,0.5379829509845793,0.29651103236111304,0.17252629865988123,0.41682360326428125,-0.07970984346833156,-1142.8000258054694,1142.9044351006778,0.5,-10.404232974894521,-0.5175724754553757,inf
15m,50,16,2.5,4,True,real,7139,2208,3.2332427536231885,0.8083106884057971,1.0630052108797012,0.2870595928399131,0.0993716217533707,0.04383705028479147,0.310407620114862,-0.1786647735304692,-1275.4878182340196,1276.8276686951374,1.0,-14.382630177093016,-0.5776665843451176,inf
15m,50,16,2.5,4,False,real,7139,2208,3.2332427536231885,0.8083106884057971,1.0409154052655347,0.6536024415362233,0.41639356829437424,0.27199209806751684,0.4402577391791567,-0.051757707574835284,-369.49827437674907,371.3040946230516,1.0,-5.0092886465641815,-0.16734523296048417,inf
15m,50,16,3.0,1,True,real,11957,2208,5.415307971014493,1.3538269927536233,1.0168958524957532,0.1583125906555175,0.043178519287614577,0.017179909692543273,0.22288199381115664,-0.3412018183305803,-4079.7501417787485,4079.750141778768,0.25,-27.97157277157173,-1.8477129265302303,inf
15m,50,16,3.0,1,False,real,11957,2208,5.415307971014493,1.3538269927536233,0.9798770826041987,0.47564808816285553,0.24062420489066597,0.13153919726784305,0.3977586351091411,-0.11266163447429717,-1347.0951634091712,1350.6416326556684,0.25,-11.115239602778997,-0.6100974471961826,inf
15m,50,16,3.0,2,True,real,6026,2208,2.7291666666666665,0.6822916666666666,1.0264465038475572,0.2455999735761546,0.0810234168036478,0.03547519468012224,0.2855957517424494,-0.24670503688721165,-1486.6445522823374,1486.8317260366132,0.5,-15.089018479942728,-0.6732991631713484,inf
15m,50,16,3.0,2,False,real,6026,2208,2.7291666666666665,0.6822916666666666,0.9725825269497819,0.5621126608559874,0.33140408850531,0.20284970501486113,0.4288084965151012,-0.08193321416926262,-493.72954858397657,497.2012715756195,0.5,-6.289792517665406,-0.22360939700361257,inf
15m,50,16,3.0,4,True,real,3039,2207,1.3769823289533303,0.34424558223833257,1.078633009329253,0.3479467557891734,0.13406626157010354,0.06283687323679782,0.34419216847647255,-0.16595523169160883,-504.3379491107993,509.6084318045312,1.0,-8.161691351620311,-0.2285174214367011,inf
