sym,clip_usd,mode,median_bps_fine,n_fine,fillable,median_bps,p90_bps,p99_bps,round_trip_median
AVAXUSDT,10000,uniform,0.37851933445980845,3508,1.0,0.278884283780385,0.49149137288698563,0.7569995772416078,0.55776856756077
AVAXUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
AVAXUSDT,50000,uniform,1.8925966722990424,3508,1.0,1.394421418901925,2.4574568644349277,3.7849978862080405,2.78884283780385
AVAXUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
AVAXUSDT,250000,uniform,9.46298336149521,3508,1.0,6.972107094509624,12.266344267156985,18.008093967513634,13.944214189019249
AVAXUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
AVAXUSDT,1000000,uniform,31.41277508102977,3508,1.0,27.212392002262376,47.29332329215539,65.11423934354157,54.42478400452475
AVAXUSDT,1000000,edge,78.870251156,3508,1.0,100.0,100.0,118.67040638814998,200.0
AVAXUSDT,5000000,uniform,138.63344881296317,3487,0.6277960035788845,110.98949471146142,174.79542516539507,204.02455301120585,221.97898942292284
AVAXUSDT,5000000,edge,188.29319257679998,3487,0.6277960035788845,161.6722068373,224.43717372906002,254.02701007488398,323.3444136746
LINKUSDT,1000,uniform,0.02753211324430254,3508,1.0,0.021486740904085307,0.03236995046066439,0.0463490243747969,0.042973481808170615
LINKUSDT,1000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LINKUSDT,10000,uniform,0.2753211324430255,3508,1.0,0.21486740904085305,0.32369950460664393,0.46349024374796893,0.4297348180817061
LINKUSDT,10000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LINKUSDT,50000,uniform,1.3766056622151273,3508,1.0,1.0743370452042655,1.6184975230332195,2.3174512187398446,2.148674090408531
LINKUSDT,50000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LINKUSDT,250000,uniform,6.883028311075636,3508,1.0,5.371685226021327,8.092487615166096,11.559478998833864,10.743370452042655
LINKUSDT,250000,edge,20.0,3508,1.0,100.0,100.0,100.0,200.0
LINKUSDT,1000000,uniform,25.57648909035703,3508,1.0,21.37688857108873,30.87200218113792,42.77751177432912,42.75377714217746
LINKUSDT,1000000,edge,70.94302222552,3508,1.0,100.0,100.0,100.0,200.0
LINKUSDT,5000000,uniform,111.71865768632085,3488,0.9199721642310369,109.07571315009821,163.5820359106039,191.37791452232236,218.15142630019642
