hour,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,symbol,pf,trades,win_rate,avg_r,trades_per_day,max_dd,days_to_target
0,1,32,1,2,2.0,3.0,1,EURUSD,0.674,777,0.3024,-0.267,0.71,-2.1087,240.6
0,1,96,0,0,0.0,0.0,0,EURUSD,0.573,778,0.0938,-0.5321,0.711,-4.1678,25.3
0,1,96,0,0,0.0,1.0,0,EURUSD,0.452,778,0.4987,-0.3756,0.711,-2.9286,8753.9
0,1,96,0,0,0.0,1.5,0,EURUSD,0.541,778,0.3985,-0.378,0.711,-2.9524,1422.2
0,1,96,0,0,0.0,2.0,0,EURUSD,0.595,778,0.3355,-0.3684,0.711,-2.8938,514.3
0,1,96,0,0,0.0,3.0,0,EURUSD,0.664,778,0.2622,-0.3404,0.711,-2.6761,159.3
0,1,96,0,1,0.0,0.0,0,EURUSD,0.479,778,0.0681,-0.7269,0.711,-5.6554,19.2
0,1,96,0,1,0.0,1.0,0,EURUSD,0.238,778,0.4087,-0.6757,0.711,-5.2691,215870.0
0,1,96,0,1,0.0,1.5,0,EURUSD,0.355,778,0.3432,-0.6352,0.711,-4.9726,11300.0
0,1,96,0,1,0.0,2.0,0,EURUSD,0.408,778,0.2866,-0.6333,0.711,-4.9556,2727.9
0,1,96,0,1,0.0,3.0,0,EURUSD,0.433,778,0.2057,-0.6735,0.711,-5.2985,794.5
0,1,96,0,2,1.0,0.0,0,EURUSD,0.514,709,0.0691,-0.647,0.647,-4.5874,27.3
0,1,96,0,2,1.0,0.0,1,EURUSD,0.672,709,0.079,-0.4324,0.647,-3.3708,14.4
0,1,96,0,2,1.0,1.0,0,EURUSD,0.296,709,0.4231,-0.5832,0.647,-4.1348,81538.0
0,1,96,0,2,1.0,1.0,1,EURUSD,0.497,709,0.5557,-0.318,0.647,-2.2746,5290.6
0,1,96,0,2,1.0,1.5,0,EURUSD,0.384,709,0.3371,-0.5867,0.647,-4.1598,8448.0
0,1,96,0,2,1.0,1.5,1,EURUSD,0.524,709,0.4118,-0.3998,0.647,-2.8542,1690.6
0,1,96,0,2,1.0,2.0,0,EURUSD,0.442,709,0.2863,-0.5705,0.647,-4.0448,2102.8
0,1,96,0,2,1.0,2.0,1,EURUSD,0.559,709,0.3371,-0.4182,0.647,-2.9942,687.6
0,1,96,0,2,1.0,3.0,0,EURUSD,0.52,709,0.2243,-0.5324,0.647,-3.7748,408.5
0,1,96,0,2,1.0,3.0,1,EURUSD,0.585,709,0.2454,-0.4478,0.647,-3.2649,259.1
0,1,96,0,2,2.0,0.0,0,EURUSD,0.668,777,0.1377,-0.3524,0.71,-2.7591,41.1
0,1,96,0,2,2.0,0.0,1,EURUSD,0.835,777,0.1583,-0.1714,0.71,-1.5403,24.5
0,1,96,0,2,2.0,1.0,0,EURUSD,0.615,777,0.4994,-0.2373,0.71,-1.8535,1928.2
0,1,96,0,2,2.0,1.0,1,EURUSD,0.618,777,0.4994,-0.2373,0.71,-1.8519,1798.7
0,1,96,0,2,2.0,1.5,0,EURUSD,0.682,777,0.4003,-0.2343,0.71,-1.8319,523.5
0,1,96,0,2,2.0,1.5,1,EURUSD,0.655,777,0.39,-0.2611,0.71,-2.0911,621.3
0,1,96,0,2,2.0,2.0,0,EURUSD,0.694,777,0.3269,-0.2542,0.71,-2.0174,293.1
0,1,96,0,2,2.0,2.0,1,EURUSD,0.681,777,0.323,-0.2673,0.71,-2.1773,315.0
0,1,96,0,2,2.0,3.0,0,EURUSD,0.631,777,0.2214,-0.3535,0.71,-2.7749,213.7
0,1,96,0,2,2.0,3.0,1,EURUSD,0.732,777,0.2497,-0.2476,0.71,-2.1497,126.7
