hour,minute,or_bars,hold_bars,entry_mode,stop_mode,stop_atr_mult,rr,fade,min_break_rvol,min_atr_rank,fast_trend_mode,symbol,window,pf,trades,win_rate,avg_r,trades_per_day,avg_hold_h,max_dd,sharpe,days_to_target
13,0,1,16,0,2,1.0,1.0,0,1.5,0.7,0,BTCUSDT,IS,0.546,161,0.5342,-0.2824,0.22,0.23,-0.4629,-2.499,9477.2
13,0,1,16,0,2,1.0,1.0,0,1.5,0.7,2,BTCUSDT,IS,0.673,77,0.5584,-0.1819,0.105,0.22,-0.144,-1.147,7510.9
13,0,1,16,0,2,1.0,1.0,0,2.0,0.0,0,BTCUSDT,IS,0.421,539,0.5566,-0.3729,0.737,0.05,-2.0164,-6.041,9134.3
13,0,1,16,0,2,1.0,1.0,0,2.0,0.0,2,BTCUSDT,IS,0.445,149,0.5369,-0.3632,0.204,0.04,-0.556,-3.006,20252.1
13,0,1,16,0,2,1.0,1.0,0,2.0,0.5,0,BTCUSDT,IS,0.619,280,0.5964,-0.2108,0.383,0.09,-0.5994,-2.565,3229.5
13,0,1,16,0,2,1.0,1.0,0,2.0,0.5,2,BTCUSDT,IS,0.55,97,0.5361,-0.2728,0.133,0.06,-0.2792,-1.887,14791.7
13,0,1,16,0,2,1.0,1.0,0,2.0,0.7,0,BTCUSDT,IS,0.643,157,0.5732,-0.2026,0.215,0.14,-0.3221,-1.818,4589.6
13,0,1,16,0,2,1.0,1.0,0,2.0,0.7,2,BTCUSDT,IS,0.651,59,0.5424,-0.1982,0.081,0.09,-0.1197,-1.096,10926.1
13,0,1,16,0,2,1.0,1.0,1,0.0,0.0,0,BTCUSDT,IS,0.266,708,0.4576,-0.59,0.969,0.31,-4.1783,-10.691,89888.3
13,0,1,16,0,2,1.0,1.0,1,0.0,0.0,2,BTCUSDT,IS,0.274,707,0.4554,-0.5765,0.967,0.27,-4.0761,-10.443,75855.7
13,0,1,16,0,2,1.0,1.0,1,0.0,0.5,0,BTCUSDT,IS,0.393,312,0.484,-0.4449,0.427,0.36,-1.3881,-5.183,20341.3
13,0,1,16,0,2,1.0,1.0,1,0.0,0.5,2,BTCUSDT,IS,0.414,311,0.492,-0.4216,0.425,0.32,-1.3247,-4.899,15396.2
13,0,1,16,0,2,1.0,1.0,1,0.0,0.7,0,BTCUSDT,IS,0.419,170,0.4647,-0.4266,0.233,0.4,-0.7253,-3.642,25208.4
13,0,1,16,0,2,1.0,1.0,1,0.0,0.7,2,BTCUSDT,IS,0.441,169,0.4734,-0.4044,0.231,0.39,-0.7085,-3.436,19382.8
13,0,1,16,0,2,1.0,1.0,1,1.5,0.0,0,BTCUSDT,IS,0.153,585,0.3026,-0.9032,0.8,0.09,-5.2836,-14.596,3960958.6
13,0,1,16,0,2,1.0,1.0,1,1.5,0.0,2,BTCUSDT,IS,0.157,578,0.3062,-0.894,0.791,0.09,-5.1671,-14.237,2859392.7
13,0,1,16,0,2,1.0,1.0,1,1.5,0.5,0,BTCUSDT,IS,0.261,292,0.3733,-0.6578,0.399,0.15,-1.9236,-7.134,131937.8
13,0,1,16,0,2,1.0,1.0,1,1.5,0.5,2,BTCUSDT,IS,0.26,289,0.3702,-0.6609,0.395,0.15,-1.9236,-7.114,132500.0
13,0,1,16,0,2,1.0,1.0,1,1.5,0.7,0,BTCUSDT,IS,0.331,161,0.4037,-0.5433,0.22,0.23,-0.8924,-4.419,74708.2
13,0,1,16,0,2,1.0,1.0,1,1.5,0.7,2,BTCUSDT,IS,0.339,159,0.4025,-0.5396,0.218,0.22,-0.8757,-4.315,62626.4
13,0,1,16,0,2,1.0,1.0,1,2.0,0.0,0,BTCUSDT,IS,0.136,539,0.2764,-0.9592,0.737,0.05,-5.1702,-14.75,7063764.0
13,0,1,16,0,2,1.0,1.0,1,2.0,0.0,2,BTCUSDT,IS,0.134,530,0.2698,-0.9724,0.725,0.06,-5.1539,-14.715,6937869.6
13,0,1,16,0,2,1.0,1.0,1,2.0,0.5,0,BTCUSDT,IS,0.212,280,0.3214,-0.7608,0.383,0.09,-2.1304,-7.936,313954.9
13,0,1,16,0,2,1.0,1.0,1,2.0,0.5,2,BTCUSDT,IS,0.211,274,0.3175,-0.7683,0.375,0.09,-2.1051,-7.873,305843.1
13,0,1,16,0,2,1.0,1.0,1,2.0,0.7,0,BTCUSDT,IS,0.282,157,0.3631,-0.6231,0.215,0.14,-0.9959,-4.926,146096.6
13,0,1,16,0,2,1.0,1.0,1,2.0,0.7,2,BTCUSDT,IS,0.3,153,0.3725,-0.6028,0.209,0.14,-0.9399,-4.666,106178.8
13,0,1,16,0,2,1.0,2.0,0,0.0,0.0,0,BTCUSDT,IS,0.399,708,0.3079,-0.6579,0.969,0.53,-4.6699,-8.738,2385.8
13,0,1,16,0,2,1.0,2.0,0,0.0,0.0,2,BTCUSDT,IS,0.48,436,0.3372,-0.507,0.596,0.53,-2.2225,-5.203,1313.4
13,0,1,16,0,2,1.0,2.0,0,0.0,0.5,0,BTCUSDT,IS,0.511,312,0.3141,-0.4705,0.427,0.58,-1.4948,-4.108,1525.3
13,0,1,16,0,2,1.0,2.0,0,0.0,0.5,2,BTCUSDT,IS,0.635,199,0.3618,-0.3145,0.272,0.56,-0.7812,-2.194,996.7
13,0,1,16,0,2,1.0,2.0,0,0.0,0.7,0,BTCUSDT,IS,0.624,170,0.3412,-0.3325,0.233,0.68,-0.5652,-2.147,1228.7
13,0,1,16,0,2,1.0,2.0,0,0.0,0.7,2,BTCUSDT,IS,0.718,105,0.3619,-0.231,0.144,0.65,-0.3164,-1.178,1200.7
13,0,1,16,0,2,1.0,2.0,0,1.5,0.0,0,BTCUSDT,IS,0.768,585,0.4462,-0.1934,0.8,0.26,-1.1645,-2.239,157.9
13,0,1,16,0,2,1.0,2.0,0,1.5,0.0,2,BTCUSDT,IS,0.783,212,0.4245,-0.1779,0.29,0.26,-0.4758,-1.246,411.8
13,0,1,16,0,2,1.0,2.0,0,1.5,0.5,0,BTCUSDT,IS,0.794,292,0.411,-0.1674,0.399,0.4,-0.5611,-1.392,295.9
13,0,1,16,0,2,1.0,2.0,0,1.5,0.5,2,BTCUSDT,IS,0.79,129,0.3953,-0.1689,0.176,0.37,-0.3644,-0.937,683.2
13,0,1,16,0,2,1.0,2.0,0,1.5,0.7,0,BTCUSDT,IS,0.803,161,0.3975,-0.1581,0.22,0.5,-0.2692,-0.98,517.1
13,0,1,16,0,2,1.0,2.0,0,1.5,0.7,2,BTCUSDT,IS,0.89,77,0.4026,-0.0822,0.105,0.48,-0.2177,-0.355,795.1
13,0,1,16,0,2,1.0,2.0,0,2.0,0.0,0,BTCUSDT,IS,0.934,539,0.4879,-0.0502,0.737,0.2,-0.714,-0.555,93.1
13,0,1,16,0,2,1.0,2.0,0,2.0,0.0,2,BTCUSDT,IS,0.842,149,0.4362,-0.1262,0.204,0.16,-0.3245,-0.739,457.0
13,0,1,16,0,2,1.0,2.0,0,2.0,0.5,0,BTCUSDT,IS,1.026,280,0.4714,0.0186,0.383,0.29,-0.1892,0.15,141.8
13,0,1,16,0,2,1.0,2.0,0,2.0,0.5,2,BTCUSDT,IS,0.899,97,0.4227,-0.0769,0.133,0.21,-0.2462,-0.368,594.1
13,0,1,16,0,2,1.0,2.0,0,2.0,0.7,0,BTCUSDT,IS,0.964,157,0.4395,-0.0267,0.215,0.35,-0.2032,-0.162,301.2
13,0,1,16,0,2,1.0,2.0,0,2.0,0.7,2,BTCUSDT,IS,0.984,59,0.4237,-0.0117,0.081,0.27,-0.1948,-0.044,748.9
13,0,1,16,0,2,1.0,2.0,1,0.0,0.0,0,BTCUSDT,IS,0.408,708,0.3121,-0.6385,0.969,0.62,-4.5257,-8.509,2178.3
13,0,1,16,0,2,1.0,2.0,1,0.0,0.0,2,BTCUSDT,IS,0.429,707,0.3225,-0.6037,0.967,0.55,-4.2682,-7.969,1599.2
13,0,1,16,0,2,1.0,2.0,1,0.0,0.5,0,BTCUSDT,IS,0.481,312,0.3013,-0.5082,0.427,0.68,-1.6039,-4.452,1958.5
13,0,1,16,0,2,1.0,2.0,1,0.0,0.5,2,BTCUSDT,IS,0.531,311,0.3183,-0.4459,0.425,0.6,-1.4004,-3.846,1227.6
13,0,1,16,0,2,1.0,2.0,1,0.0,0.7,0,BTCUSDT,IS,0.416,170,0.2588,-0.586,0.233,0.75,-1.0139,-3.866,6478.8
13,0,1,16,0,2,1.0,2.0,1,0.0,0.7,2,BTCUSDT,IS,0.508,169,0.2959,-0.4685,0.231,0.7,-0.8235,-3.016,2642.4
13,0,1,16,0,2,1.0,2.0,1,1.5,0.0,0,BTCUSDT,IS,0.275,585,0.2222,-0.8694,0.8,0.21,-5.0924,-11.175,27576.7
13,0,1,16,0,2,1.0,2.0,1,1.5,0.0,2,BTCUSDT,IS,0.286,578,0.2284,-0.8473,0.791,0.2,-4.9035,-10.728,20505.8
13,0,1,16,0,2,1.0,2.0,1,1.5,0.5,0,BTCUSDT,IS,0.367,292,0.2432,-0.6759,0.399,0.35,-1.9735,-5.829,6778.2
13,0,1,16,0,2,1.0,2.0,1,1.5,0.5,2,BTCUSDT,IS,0.376,289,0.2457,-0.6571,0.395,0.32,-1.9125,-5.649,6173.3
13,0,1,16,0,2,1.0,2.0,1,1.5,0.7,0,BTCUSDT,IS,0.454,161,0.2733,-0.5384,0.22,0.49,-0.8845,-3.415,4536.4
13,0,1,16,0,2,1.0,2.0,1,1.5,0.7,2,BTCUSDT,IS,0.457,159,0.2704,-0.533,0.218,0.45,-0.8652,-3.353,4375.3
13,0,1,16,0,2,1.0,2.0,1,2.0,0.0,0,BTCUSDT,IS,0.264,539,0.2096,-0.8914,0.737,0.15,-4.8049,-10.975,34377.7
13,0,1,16,0,2,1.0,2.0,1,2.0,0.0,2,BTCUSDT,IS,0.25,530,0.2,-0.9205,0.725,0.14,-4.8787,-11.285,47036.3
13,0,1,16,0,2,1.0,2.0,1,2.0,0.5,0,BTCUSDT,IS,0.321,280,0.2179,-0.7518,0.383,0.23,-2.1051,-6.407,13109.4
