signal,tf,L,k,mode,H,tag,trades,span_days,tpd,pf,pf_0x,pf_2x,pf_3x,win,avg_r,total_r,max_dd_r,hold_h,sharpe,r_per_day,est_days
mom,1h,48,1,spread,1,null0,52942,2206,23.99909338168631,0.6066900740172378,1.0125673235585073,0.36548075724698714,0.22281144487196058,0.41343356881115184,-0.146706956655086,-7766.959699233564,7772.852468583454,1.0,-17.013607260606797,-3.520833952508415,inf
mom,1h,48,1,spread,4,null0,13235,2206,5.999546690843155,0.7780773456962639,1.0098024147473061,0.5999844736369178,0.4633018514384572,0.45485455232338495,-0.0723957361679511,-958.1575681828328,966.3434889386194,4.0,-4.4807001352165905,-0.43434159935758515,inf
mom,1h,48,1,spread,12,null0,4411,2205,2.000453514739229,0.8695699098650399,1.010419689242644,0.7484820436922317,0.6444608721576038,0.474268873271367,-0.04052236332773752,-178.74414463865023,200.29026195865714,12.0,-1.4617707939140412,-0.08106310414451258,inf
mom,1h,48,1,longonly,1,null0,52942,2206,23.99909338168631,0.7261566946883369,1.0168851656131563,0.5204834684004006,0.3755726650625861,0.4376109704960145,-0.14318814647155606,-7580.66685049712,7594.723405547463,1.0,-10.599922924224533,-3.436385698321451,inf
mom,1h,48,1,longonly,4,null0,13235,2206,5.999546690843155,0.8609846439554166,1.0339583858086863,0.7171332096064238,0.597707463406034,0.4758594635436343,-0.06156632705964939,-814.8303386344596,824.8688888065412,4.0,-2.6205601506965244,-0.36937005377808685,inf
mom,1h,48,1,longonly,12,null0,4411,2205,2.000453514739229,0.9572011881606562,1.0648274717770714,0.8605258455926631,0.7736777163349625,0.4901382906370437,-0.017910154431244087,-79.00169119621766,129.9463082467805,12.0,-0.4564307409468695,-0.03582843138150461,inf
mom,1h,48,2,spread,1,null0,52942,2206,23.99909338168631,0.48213316876482076,1.0051195965484434,0.2336653531658741,0.11519214995400565,0.3730686411544709,-0.15775615159300999,-8351.926177637135,8354.67854564265,1.0,-25.702802278566665,-3.7860046136161083,inf
mom,1h,48,2,spread,4,null0,13235,2206,5.999546690843155,0.6774693095439452,0.9907207002452948,0.4633203872969918,0.31675763607546664,0.43452965621458256,-0.08138682999395457,-1077.1546949699887,1080.5050418390963,4.0,-7.087294914239343,-0.4882840865684445,inf
mom,1h,48,2,spread,12,null0,4411,2205,2.000453514739229,0.8112329573506339,1.0118025309170975,0.6505046217038949,0.5214563994773135,0.4622534572659261,-0.04339761687009373,-191.42688801398344,196.67877143199135,12.0,-2.2180865213526375,-0.08681491519908546,inf
mom,1h,48,2,longonly,1,null0,52942,2206,23.99909338168631,0.6564779609302179,1.0162861610275145,0.42584569001778116,0.2784825965536769,0.4249367232065279,-0.15292924933265578,-8096.380318169462,8102.051865917065,1.0,-14.238915311740497,-3.670163335525595,inf
mom,1h,48,2,longonly,4,null0,13235,2206,5.999546690843155,0.7891195258551269,1.0196348053268536,0.6107038522675656,0.4728475765926095,0.46173026067245937,-0.07341505633214675,-971.6482705559622,975.0714589645486,4.0,-4.216143336691628,-0.44045705827559484,inf
mom,1h,48,2,longonly,12,null0,4411,2205,2.000453514739229,0.9142334237259773,1.06671135689769,0.7837260055373698,0.6718640677564941,0.48129675810473815,-0.02666657943990132,-117.62628190940472,120.37276282516409,12.0,-0.9458215207814733,-0.05334525256662346,inf
mom,4h,3,1,spread,1,null0,13164,2193,6.002735978112175,0.770407756915554,1.002997163713382,0.5920046448196308,0.4551869273658157,0.4544971133394105,-0.07337143188290028,-965.8615293064994,978.9923784394816,4.0,-4.666895372791828,-0.4404293339290923,inf
