sym,feature,horizon,tail,n_trades,fade_bps,hi_bps,lo_bps,hit_rate,null_best,beats_null,clears_taker1x,clears_taker2x,clears_mixed,clears_maker2x
BTCUSDT,absorb_1h,15m,0.01,13078,-0.02803879462469303,-1.1747167733270851,1.111297648238446,0.47958403425600243,0.32492521587521417,False,False,False,False,False
BTCUSDT,absorb_1h,30m,0.1,126353,0.2839815075114191,-0.4061278021156474,0.9730320491980539,0.495801445157614,0.43838071041071147,False,False,False,False,False
BTCUSDT,absorb_1h,30m,0.05,63344,0.2642778594584357,-0.96775279788355,1.4987226598665444,0.4918066430916898,0.22297728723527488,True,False,False,False,False
BTCUSDT,absorb_1h,30m,0.02,25777,0.559338146595702,-1.4666621361900078,2.583610028333587,0.48795437793381696,0.3070871676537308,True,False,False,False,False
BTCUSDT,absorb_1h,30m,0.01,13078,0.2406140914960093,-2.56888046381699,3.032121029229262,0.48073099862364277,0.19253050757711704,True,False,False,False,False
BTCUSDT,absorb_1h,1h,0.1,126353,0.47234820440185554,-0.501992112520461,1.4451936852507605,0.49633961995362197,0.6946950640510062,False,False,False,False,False
BTCUSDT,absorb_1h,1h,0.05,63344,0.6223896713988882,-1.1745756696950176,2.4228761354392185,0.49354319272543573,0.49477518729744435,True,False,False,False,False
BTCUSDT,absorb_1h,1h,0.02,25777,0.9472626137216238,-2.0367572505915033,3.9287367809269917,0.49004926872793575,0.38011625945466887,True,False,False,False,False
BTCUSDT,absorb_1h,1h,0.01,13078,0.7822723475072806,-3.229438413343078,4.768298374827805,0.4856247132589081,0.3564592612407635,True,False,False,False,False
BTCUSDT,absorb_1h,2h,0.1,126350,0.707661147300717,-0.1985534986320559,1.6125284113613938,0.5014562722595963,1.4476422476514708,False,False,False,False,False
BTCUSDT,absorb_1h,2h,0.05,63344,1.1353934664236032,-0.2979970136540184,2.5715926507066795,0.50268375852488,1.2332633401174358,False,False,False,False,False
BTCUSDT,absorb_1h,2h,0.02,25777,1.3221339241046774,-1.237668065017094,3.8797521206190075,0.5013771967257633,0.7298141088166903,True,False,False,False,False
BTCUSDT,absorb_1h,2h,0.01,13078,1.1503341162988823,-1.9896179035318107,4.270182784783097,0.5046643217617373,0.6987276226876307,True,False,False,False,False
BTCUSDT,absorb_1h,4h,0.1,126347,0.5600340612266685,-1.3553741336772493,2.472685139666607,0.49954490411327535,1.9896193043898034,False,False,False,False,False
BTCUSDT,absorb_1h,4h,0.05,63342,0.9075293469177825,-0.9558261100459553,2.774654036450364,0.5005999179059708,1.9744454901154136,False,False,False,False,False
BTCUSDT,absorb_1h,4h,0.02,25776,1.4965618769528874,-0.24837486155585037,3.240145216920937,0.501435443823712,1.477357303338202,True,False,False,False,False
BTCUSDT,absorb_1h,4h,0.01,13078,2.524792269834164,2.0072263355488946,3.0390445197840705,0.507646429117602,1.3823013249849045,True,False,False,False,False
BTCUSDT,absorbq_1h,15m,0.1,42742,0.1896811051566129,-0.5745211152574702,0.9539548466020871,0.5049599925132189,0.1533947952677818,True,False,False,False,False
BTCUSDT,absorbq_1h,15m,0.05,21647,0.2084535600068048,-0.8368123629042009,1.2474609820897695,0.49794428789208667,0.259111848420836,False,False,False,False,False
BTCUSDT,absorbq_1h,15m,0.02,8958,-0.18353003727137615,-1.571067462143464,1.201531300293333,0.48984148247376647,-0.023835126579432164,False,False,False,False,False
BTCUSDT,absorbq_1h,15m,0.01,4721,-0.7982219307366263,-3.746116711510894,2.12356328006874,0.4854903622113959,-0.07339163580877989,False,False,False,False,False
BTCUSDT,absorbq_1h,30m,0.1,42742,0.285254549201447,-1.3588765995848266,1.929539570814,0.50264376959431,0.5077683415216218,False,False,False,False,False
BTCUSDT,absorbq_1h,30m,0.05,21647,0.43967192342399897,-1.5201595118887912,2.3877689221767917,0.49789809211438074,0.3166987539312377,True,False,False,False,False
BTCUSDT,absorbq_1h,30m,0.02,8958,0.31504903922855365,-2.9696479113278476,3.5938843846980824,0.4936369725385131,0.1309920227181479,True,False,False,False,False
BTCUSDT,absorbq_1h,30m,0.01,4721,0.05880388178185468,-5.822122928512537,5.887643191858539,0.4935395043423004,0.37914197764225543,False,False,False,False,False
BTCUSDT,absorbq_1h,1h,0.1,42742,0.6240538323977162,-1.8019087127927877,3.050243421345374,0.5033924477095129,0.6260865465687601,False,False,False,False,False
