symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_1x,clears_2x,years,same_sign_years,n
DOGEUSDT,dprem_4h,8h,-0.01272,0.00324,True,-3.74,0.5,False,False,7,0.86,643691
DOGEUSDT,dprem_4h,12h,-0.00955,0.00436,True,-4.48,0.5,False,False,7,0.71,643643
DOGEUSDT,dprem_4h,24h,-0.00705,0.00297,True,-1.96,0.5,False,False,7,1.0,643499
DOGEUSDT,lev_1h,1h,0.00421,0.00303,True,1.41,0.5,False,False,7,0.86,643811
DOGEUSDT,lev_1h,4h,0.00449,0.00276,True,-0.03,0.75,False,False,7,0.86,643775
DOGEUSDT,lev_1h,8h,0.00392,0.00418,False,0.42,0.5,False,False,7,0.57,643727
DOGEUSDT,lev_1h,12h,0.0039,0.00424,False,-0.98,0.5,False,False,7,0.57,643679
DOGEUSDT,lev_1h,24h,0.0025,0.00406,False,4.82,0.5,False,False,7,0.57,643535
DOGEUSDT,lev_4h,1h,0.00152,0.00169,False,0.64,0.5,False,False,7,0.43,643775
DOGEUSDT,lev_4h,4h,-0.00146,0.00228,False,-2.91,0.5,False,False,7,0.71,643739
DOGEUSDT,lev_4h,8h,0.0015,0.00277,False,-1.87,0.5,False,False,7,0.57,643691
DOGEUSDT,lev_4h,12h,0.00081,0.00415,False,-2.24,0.5,False,False,7,0.71,643643
DOGEUSDT,lev_4h,24h,0.00368,0.00375,False,11.6,0.5,False,False,7,0.86,643499
DOGEUSDT,gap,1h,0.00162,0.00298,False,-0.3,0.5,False,False,7,0.57,643535
DOGEUSDT,gap,4h,-0.00315,0.00305,True,-3.11,0.5,False,False,7,0.86,643499
DOGEUSDT,gap,8h,-0.004,0.00501,False,-3.85,0.5,False,False,7,0.86,643451
DOGEUSDT,gap,12h,-0.00207,0.00384,False,-4.78,0.5,False,False,7,0.71,643403
DOGEUSDT,gap,24h,-0.00156,0.00483,False,-8.93,0.5,False,False,7,0.43,643259
DOGEUSDT,gap_z,1h,0.00302,0.00228,True,0.16,0.5,False,False,7,0.57,643391
DOGEUSDT,gap_z,4h,-0.0019,0.0031,False,-0.86,0.5,False,False,7,0.71,643355
DOGEUSDT,gap_z,8h,-0.00327,0.0055,False,-1.15,0.5,False,False,7,0.86,643307
DOGEUSDT,gap_z,12h,-0.00092,0.00272,False,-1.41,0.5,False,False,7,0.57,643259
DOGEUSDT,gap_z,24h,0.0004,0.00497,False,-2.49,0.5,False,False,7,0.43,643115
DOGEUSDT,gap_1h,1h,-0.00139,0.00418,False,-1.24,0.75,False,False,7,0.57,643800
DOGEUSDT,gap_1h,4h,-0.00689,0.01168,False,-6.94,0.75,False,False,7,0.57,643764
DOGEUSDT,gap_1h,8h,-0.00674,0.00752,False,-8.92,0.5,False,False,7,0.57,643716
DOGEUSDT,gap_1h,12h,-0.00265,0.009,False,-8.36,0.5,False,False,7,0.43,643668
DOGEUSDT,gap_1h,24h,-0.00203,0.00951,False,-17.21,0.5,True,False,7,0.57,643524
DOGEUSDT,cash_1h,1h,0.003,0.00368,False,-0.32,0.5,False,False,7,0.71,643802
DOGEUSDT,cash_1h,4h,-0.00233,0.00768,False,-1.96,0.5,False,False,7,0.71,643766
DOGEUSDT,cash_1h,8h,-0.00485,0.00594,False,-5.72,0.75,False,False,7,1.0,643718
DOGEUSDT,cash_1h,12h,-0.00551,0.01199,False,-9.09,0.5,False,False,7,0.86,643670
DOGEUSDT,cash_1h,24h,0.00083,0.00663,False,-11.47,0.5,False,False,7,0.57,643526
DOGEUSDT,gap_4h,1h,-0.00584,0.00296,True,-2.77,0.75,False,False,7,0.86,643776
DOGEUSDT,gap_4h,4h,-0.01321,0.00835,True,-11.39,0.75,False,False,7,0.71,643740
DOGEUSDT,gap_4h,8h,-0.00708,0.01102,False,-14.6,0.5,True,False,7,0.71,643692
DOGEUSDT,gap_4h,12h,-0.00405,0.01594,False,-15.88,0.75,True,False,7,0.57,643644
DOGEUSDT,gap_4h,24h,-0.0053,0.01528,False,-42.77,0.75,True,True,7,0.57,643500
DOGEUSDT,cash_4h,1h,0.00499,0.00537,False,-0.21,0.75,False,False,7,0.57,643775
DOGEUSDT,cash_4h,4h,0.00903,0.01215,False,2.9,0.5,False,False,7,0.86,643739
DOGEUSDT,cash_4h,8h,0.00707,0.00865,False,2.62,0.5,False,False,7,0.86,643691
