symbol,feature,horizon,q1_bps,q2_bps,q3_bps,q4_bps,q5_bps
ADAUSDT,prem,4h,4.49,-2.61,-4.03,4.15,2.45
ADAUSDT,prem,8h,7.98,-5.99,-6.97,9.79,4.2
ADAUSDT,prem,12h,10.45,-8.99,-10.09,15.47,6.75
ADAUSDT,prem,24h,10.49,-20.15,-15.51,31.16,21.17
ADAUSDT,prem_z,1h,1.94,0.19,0.35,-0.46,-0.89
ADAUSDT,prem_z,4h,4.33,1.14,0.51,-0.32,-1.17
ADAUSDT,prem_z,8h,9.23,4.26,-0.31,-0.72,-3.52
ADAUSDT,prem_z,12h,13.47,9.78,0.37,-2.76,-7.44
ADAUSDT,prem_z,24h,20.06,17.34,2.74,-4.17,-8.93
ADAUSDT,dprem_1h,1h,2.33,-0.64,-0.1,-0.62,0.15
ADAUSDT,dprem_1h,4h,5.18,-1.56,-0.25,-0.82,1.92
ADAUSDT,dprem_1h,8h,7.59,-2.45,0.78,-1.48,4.59
ADAUSDT,dprem_1h,12h,11.4,-4.88,2.83,-1.97,6.23
ADAUSDT,dprem_1h,24h,20.68,-8.09,7.51,-5.2,12.26
ADAUSDT,dprem_4h,1h,2.4,-0.35,-0.23,-0.51,-0.17
ADAUSDT,dprem_4h,4h,3.85,-0.91,0.54,-1.12,2.18
ADAUSDT,dprem_4h,8h,6.69,-2.66,1.13,-1.63,5.57
ADAUSDT,dprem_4h,12h,10.59,-1.74,1.33,-3.37,6.83
ADAUSDT,dprem_4h,24h,22.51,-2.5,5.81,-7.19,8.55
ADAUSDT,lev_1h,1h,1.15,-0.25,-0.09,-0.92,1.21
ADAUSDT,lev_1h,4h,3.07,-0.99,-0.13,-1.45,3.97
ADAUSDT,lev_1h,8h,6.63,-2.29,0.88,-1.88,5.68
ADAUSDT,lev_1h,12h,9.97,-3.72,2.74,-3.29,7.91
ADAUSDT,lev_1h,24h,18.37,-5.73,7.27,-7.85,15.08
ADAUSDT,lev_4h,1h,0.72,-0.21,-0.24,-0.81,1.68
ADAUSDT,lev_4h,4h,3.04,-0.18,0.05,-1.85,3.49
ADAUSDT,lev_4h,8h,7.89,-1.32,0.49,-3.11,5.17
