symbol,feature,horizon,ic,null_best,beats_null,spread_bps,monotone,clears_2x,same_sign_years,n
XRPUSDT,dsys_48,4h,-7e-05,0.01036,False,-7.19,0.5,False,0.17,40978
XRPUSDT,dsys_48,8h,-0.01565,0.00757,True,-13.99,0.5,False,0.83,40974
XRPUSDT,dsys_48,24h,-0.01322,0.01222,True,-18.1,0.75,False,0.83,40958
XRPUSDT,down_48,1h,0.0134,0.00763,True,-1.04,0.75,False,0.67,40981
XRPUSDT,down_48,4h,0.01301,0.00842,True,0.5,0.5,False,0.83,40978
XRPUSDT,down_48,8h,0.00396,0.01338,False,-3.88,0.5,False,0.67,40974
XRPUSDT,down_48,24h,-0.01139,0.00534,True,-18.42,0.75,False,0.83,40958
XRPUSDT,dsys_144,1h,-0.00313,0.00678,False,-2.72,0.5,False,0.33,40965
XRPUSDT,dsys_144,4h,-0.02141,0.01561,True,-14.59,0.75,False,1.0,40962
XRPUSDT,dsys_144,8h,-0.04136,0.01575,True,-31.16,0.75,True,1.0,40958
XRPUSDT,dsys_144,24h,-0.01012,0.02444,False,-17.93,0.75,False,0.67,40942
XRPUSDT,down_144,1h,0.01347,0.00916,True,-0.38,0.5,False,0.67,40965
XRPUSDT,down_144,4h,0.00619,0.01016,False,-1.59,0.5,False,0.83,40962
XRPUSDT,down_144,8h,-0.00117,0.01873,False,-6.5,0.75,False,0.5,40958
XRPUSDT,down_144,24h,-0.00992,0.01073,False,-23.6,0.75,False,0.67,40942
DOGEUSDT,own,1h,0.01793,0.00574,True,-0.44,0.75,False,0.83,41141
DOGEUSDT,own,4h,0.00806,0.02394,False,-2.91,0.5,False,0.67,41138
DOGEUSDT,own,8h,-0.00504,0.01672,False,-11.0,0.5,False,0.67,41134
DOGEUSDT,own,24h,0.00049,0.01868,False,-19.11,0.75,False,0.33,41118
DOGEUSDT,sys,1h,0.00708,0.0067,True,-4.68,1.0,False,0.67,41141
DOGEUSDT,sys,4h,-0.00303,0.01659,False,-13.83,1.0,False,0.5,41138
DOGEUSDT,sys,8h,-0.0142,0.00475,True,-25.21,1.0,False,0.67,41134
DOGEUSDT,sys,24h,-0.00184,0.02748,False,-22.12,0.5,False,0.5,41118
DOGEUSDT,breadth,1h,0.00853,0.00485,True,-3.97,0.75,False,0.67,41141
DOGEUSDT,breadth,4h,-0.00119,0.01759,False,-10.7,0.75,False,0.67,41138
DOGEUSDT,breadth,8h,-0.01266,0.00842,True,-25.61,0.75,False,0.83,41134
DOGEUSDT,breadth,24h,-0.00462,0.02548,False,-21.38,0.75,False,0.67,41118
DOGEUSDT,disp,1h,-0.00869,0.00603,True,-1.81,0.75,False,0.83,41141
DOGEUSDT,disp,4h,-0.01464,0.00818,True,-6.67,1.0,False,1.0,41138
DOGEUSDT,disp,8h,-0.01478,0.01361,True,-11.24,0.75,False,0.83,41134
DOGEUSDT,disp,24h,-0.03123,0.01666,True,-36.56,1.0,True,0.83,41118
DOGEUSDT,sys_gap,1h,-0.00509,0.00443,True,2.2,0.5,False,0.33,33915
DOGEUSDT,sys_gap,4h,-0.00474,0.01707,False,6.69,0.5,False,0.33,33912
DOGEUSDT,sys_gap,8h,-0.00477,0.00882,False,11.9,0.75,False,0.33,33908
DOGEUSDT,sys_gap,24h,0.00267,0.02999,False,19.78,0.5,False,0.5,33892
DOGEUSDT,idio,1h,0.01693,0.0037,True,1.63,1.0,False,1.0,41141
DOGEUSDT,idio,4h,0.01063,0.016,False,3.28,0.5,False,0.67,41138
DOGEUSDT,idio,8h,0.00352,0.01919,False,4.7,0.5,False,0.67,41134
DOGEUSDT,idio,24h,-0.0003,0.01759,False,-11.31,0.5,False,0.5,41118
DOGEUSDT,dsys_12,1h,-0.00075,0.0116,False,-0.8,0.5,False,0.5,41131
DOGEUSDT,dsys_12,4h,0.00148,0.00443,False,2.93,0.5,False,0.67,41128
DOGEUSDT,dsys_12,8h,-0.00544,0.00423,True,2.61,0.5,False,0.33,41124
DOGEUSDT,dsys_12,24h,-0.00596,0.0056,True,-6.98,0.5,False,0.83,41108
DOGEUSDT,down_12,1h,0.00853,0.01254,False,1.41,0.75,False,0.67,41131
DOGEUSDT,down_12,4h,0.00615,0.00549,True,1.69,0.75,False,0.67,41128
DOGEUSDT,down_12,8h,0.00186,0.00527,False,5.27,0.5,False,0.5,41124
