symbol,tf,anchor,entry_level,stop_k,target_mode,rr,min_risk_bps,flow_mode,crowd_mode,revert,trades,tpd,win_rate,avg_r,pf_0x,pf_1x,pf_2x,maxdd_r_2x,total_r_2x,pf_3x
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,0,1,5822,2.392,0.5967,-0.1317,0.8573,0.593,0.3901,-1292.24,-1292.0,0.2443
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,0,0,4209,1.729,0.2647,-0.3835,0.3157,0.2156,0.1537,-2001.65,-2001.6,0.1116
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,1,1,2056,0.845,0.6357,-0.096,0.9744,0.6852,0.4581,-380.64,-380.1,0.2924
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,0,1,0,1697,0.697,0.2387,-0.4428,0.249,0.1693,0.1217,-906.84,-906.8,0.0892
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,0,1,5476,2.25,0.5955,-0.13,0.8594,0.5926,0.3882,-1203.61,-1203.1,0.2413
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,0,0,4080,1.676,0.2635,-0.3857,0.3099,0.2113,0.1511,-1946.77,-1946.8,0.1101
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,1,1,1907,0.783,0.6403,-0.0917,0.9879,0.6933,0.4623,-344.01,-343.5,0.2942
BTCUSDT,15m,D,1,2.0,0,0.0,100.0,1,1,0,1608,0.661,0.2382,-0.4444,0.246,0.1673,0.1206,-861.07,-861.1,0.0884
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,0,1,8031,3.3,0.4776,-0.2243,0.9119,0.6213,0.4116,-3251.1,-3251.0,0.2689
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,0,0,7993,3.284,0.5123,-0.1335,1.0909,0.7519,0.5053,-2464.14,-2463.2,0.3331
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,1,1,5289,2.173,0.4997,-0.2409,0.9993,0.6073,0.348,-2549.69,-2546.7,0.1952
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,0,1,0,5356,2.2,0.4935,-0.245,0.9871,0.599,0.3385,-2592.0,-2590.2,0.1879
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,0,1,7724,3.173,0.4806,-0.219,0.9233,0.6281,0.4157,-3090.77,-3090.8,0.2713
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,0,0,7655,3.145,0.5096,-0.139,1.0789,0.7424,0.4975,-2405.48,-2403.7,0.3279
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,1,1,4969,2.041,0.5047,-0.2309,1.015,0.6198,0.3577,-2333.6,-2330.9,0.2016
BTCUSDT,15m,D,1,2.0,1,1.0,25.0,1,1,0,5029,2.066,0.4878,-0.2541,0.9649,0.5875,0.333,-2470.77,-2468.3,0.1849
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,0,1,6625,2.722,0.478,-0.1762,0.9131,0.6864,0.51,-2052.01,-2051.4,0.3695
BTCUSDT,15m,D,1,2.0,1,1.0,50.0,0,0,0,6713,2.758,0.5105,-0.0916,1.0894,0.8216,0.6132,-1501.3,-1499.3,0.4467
